FrameNum CenterX(mm) CenterY(mm) Areas
1116 240.23 180.89 Floor
1117 240.14 180.88 Floor
1118 240.03 180.83 Floor
1119 239.89 180.81 Floor
1120 239.71 180.82 Floor
1121 239.53 180.78 Floor
1122 239.38 180.81 Floor
1123 239.28 180.84 Floor
1124 239.25 180.83 Floor
1125 239.26 180.86 Floor
1126 239.28 180.84 Floor
1127 239.34 180.85 Floor
1128 239.41 180.88 Floor
1129 239.41 180.90 Floor
1130 239.36 180.90 Floor
1131 239.32 180.84 Floor
1132 239.27 180.78 Floor
1133 239.21 180.73 Floor
1134 239.16 180.66 Floor
1135 239.14 180.64 Floor
1136 239.11 180.64 Floor
1137 239.08 180.62 Floor
1138 239.05 180.64 Floor
1139 239.00 180.70 Floor
1140 238.95 180.76 Floor
1141 238.90 180.81 Floor
1142 238.85 180.86 Floor
1143 238.80 180.90 Floor
1144 238.80 180.91 Floor
1145 238.85 180.95 Floor
1146 238.90 180.94 Floor
1147 238.95 180.89 Floor
1148 239.00 180.87 Floor
1149 239.05 180.89 Floor
1150 239.10 180.89 Floor
1151 239.10 180.89 Floor
1152 239.11 180.89 Floor
1153 239.14 180.89 Floor
1154 239.16 180.89 Floor
1155 239.19 180.91 Floor
1156 239.23 180.90 Floor
1157 239.27 180.88 Floor
1158 239.31 180.81 Floor
1159 239.32 180.79 Floor
1160 239.31 180.78 Floor
1161 239.36 180.69 Floor
1162 239.47 180.64 Floor
1163 239.56 180.63 Floor
1164 239.55 180.68 Floor
1165 239.57 180.76 Floor
1166 239.61 180.74 Floor
1167 239.63 180.70 Floor
1168 239.57 180.69 Floor
1169 239.43 180.74 Floor
1170 239.37 180.68 Floor
1171 239.42 180.59 Floor
1172 239.47 180.59 Floor
1173 239.57 180.63 Floor
1174 239.68 180.69 Floor
1175 239.81 180.77 Floor
1176 239.90 180.83 Floor
1177 239.92 180.90 Floor
1178 239.89 180.99 Floor
1179 239.87 181.04 Floor
1180 239.92 180.97 Floor
1181 239.93 180.99 Floor
1182 239.91 180.98 Floor
1183 239.93 180.98 Floor
1184 239.93 180.92 Floor
1185 239.88 180.89 Floor
1186 239.73 180.90 Floor
1187 239.55 180.88 Floor
1188 239.45 180.84 Floor
1189 239.38 180.83 Floor
1190 239.26 180.86 Floor
